url,label
https://enjoyinn.cz/it/,1
https://koleckovyfest.cz/it/,1
https://koleckovyfest.cz/it,1
https://ca-espacefrance.com/,1
https://ca-espacefrance.com/start.php,1
http://allegrolokalnie.pl-oferta7972273.cfd,1
https://allegrolokalnie.52489602342096554.sbs/oferta/fanatec-csl-dd-8nm-i-kierownica-bmw-a48d8b,1
http://allegrolokalnie.387328752.cfd,1
https://allegrolokalnie.pl-7865.sbs,1
http://allegrolokalnie.52489602342096554.sbs,1
https://allegrolokalnie.pl-522947.sbs,1
https://allegrolokalnie.pl-7685.cfd,1
https://sale.festiveeseason.shop/aaaaanewweb/login.php,1
https://followfb.profilee.shop/girlgaming/,1
https://followfb.profilee.shop,1
https://sale.festiveeseason.shop,1
https://dhamaka-sale-offer.live/ALeU9N/,1
https://big-sale-offer.live/sllBtv/OFFER/mydeals/,1
https://big-sale-offer.live/sllBtv/OFFER/mydeals,1
https://dhamaka-offer.live/ObKu4L/OFFER/cupboard,1
rottentomatoes.com/m/classic_american_folk_music_films_1940s_1950s_historic_folk_life_folksongs_folk_dance_traditional_country_and_bluegrass_music_historical_films_featuring_peter_seeger_playing_the_banjo/,1
rottentomatoes.com/m/classic_marijuana_propaganda_films1950s_1970s_drug_narcotics_and_marijuana_as_a_gateway_drug_propaganda_films/,1
rottentomatoes.com/m/classic_mexican_and_mexican_american_culture_films_1930s_1960s_mexico_and_mexican_food_family_culture_and_traditions_and_los_angeles_california_and_mexican_american_family_culture_films/,1
rottentomatoes.com/m/classic_teen_dating_etiquette_films_1940s_1950s_teenage_dating_healthy_relationships_relationship_problems_advice_help_and_issues_films/,1
rottentomatoes.com/m/claude-jutra-portrait-sur-film-claude-jutra-an-unfinished-story/,1
rottentomatoes.com/m/cocozzas_way/,1
rottentomatoes.com/m/college-coach-football-coach/,1
rottentomatoes.com/m/confessions_of_a_serial_killer/,1
rottentomatoes.com/m/constant_gardener/,1
rottentomatoes.com/m/coraline/,1
rottentomatoes.com/m/coraline/trailers/,1
rottentomatoes.com/m/cowboys_and_aliens/,1
rottentomatoes.com/m/crooklyn/,1
rottentomatoes.com/m/cry-wolf/,1
rottentomatoes.com/m/cry_wolf/,1
rottentomatoes.com/m/dan_in_real_life/,1
rottentomatoes.com/m/dandelion/,1
rottentomatoes.com/m/danny_deckchair/,1
rottentomatoes.com/m/daydreamer/,1
rottentomatoes.com/m/daydreamer_2007/,1
rottentomatoes.com/m/days_of_being_wild/,1
rottentomatoes.com/m/deacon_brodie/,1
rottentomatoes.com/m/deliver_us_from_eva/,1
rottentomatoes.com/m/district_9/,1
rottentomatoes.com/m/do_the_right_thing/,1
rottentomatoes.com/m/door_in_the_floor/,1
rottentomatoes.com/m/e-venne-il-tempo-di-uccidere/,1
rottentomatoes.com/m/eagle_eye/,1
rottentomatoes.com/m/eastern_promises/,1
rottentomatoes.com/m/eating_raoul/,1
rottentomatoes.com/m/emmanuels_gift/,1
rottentomatoes.com/m/eternal_sunshine_of_the_spotless_mind/,1
rottentomatoes.com/m/evening/,1
rottentomatoes.com/m/fair-game-2010/,1
rottentomatoes.com/m/falling_for_grace/,1
rottentomatoes.com/m/falling_from_grace/,1
rottentomatoes.com/m/far_from_heaven/,1
rottentomatoes.com/m/farce_of_the_penguins/,1
rottentomatoes.com/m/farce_of_the_penguins/trailers/,1
rottentomatoes.com/m/forrest_gump/,1
rottentomatoes.com/m/frank_sinatra_sinatra_at_the_sands_with_count_basie_and_his_orchestra/,1
rottentomatoes.com/m/french_film/,1
rottentomatoes.com/m/frontier_horizon/,1
rottentomatoes.com/m/fun_and_fancy_free/,1
rottentomatoes.com/m/gainsbourg_a_heroic_life/,1
rottentomatoes.com/m/gammera_the_invincible/,1
rottentomatoes.com/m/giant_gila_monster/,1
rottentomatoes.com/m/glorious_39/,1
rottentomatoes.com/m/gosford_park/,1
rottentomatoes.com/m/greatest_classic_films_romantic_drama/,1
rottentomatoes.com/m/green_fire/,1
rottentomatoes.com/m/greenberg/,1
rottentomatoes.com/m/hamlet_2/,1
rottentomatoes.com/m/hand_behind_the_mouse_the_ub_iwerks_story/,1
rottentomatoes.com/m/hanna/,1
rottentomatoes.com/m/happy_elf/,1
rottentomatoes.com/m/he_who_gets_slapped/,1
rottentomatoes.com/m/hedda_gabler/,1
rottentomatoes.com/m/hercules_the_legendary_journeys_season_5/,1
rottentomatoes.com/m/historic_civil_rights_and_black_history_films_african_american_racism_and_prejudice_movies_with_martin_luther_king_and_maya_angelou_footage/,1
rottentomatoes.com/m/hollywood_singing_and_dancing_the_1940s/,1
rottentomatoes.com/m/hollywoodland/,1
rottentomatoes.com/m/huey-p-newton-prelude-to-revolution/,1
rottentomatoes.com/m/i_am_comic_2010/,1
rottentomatoes.com/m/i_capture_the_castle/,1
rottentomatoes.com/m/ice_harvest/,1
rottentomatoes.com/m/ils/,1
rottentomatoes.com/m/imagine_me_and_you/,1
rottentomatoes.com/m/in_bruges/,1
rottentomatoes.com/m/in_the_mood_for_love/,1
rottentomatoes.com/m/its-kind-of-a-funny-story/,1
rottentomatoes.com/m/its_ok_to_say_no_to_drugs/,1
rottentomatoes.com/m/jack_anderson_jfk_the_mob_and_me/,1
rottentomatoes.com/m/jane_eyre_2011/,1
rottentomatoes.com/m/jerry_maguire/,1
rottentomatoes.com/m/jerusalem_the_city_touched_by_god_to_live_a_dream_the_story_of_teddy_kollek/,1
rottentomatoes.com/m/jesus_of_montreal/,1
rottentomatoes.com/m/jews_and_baseball_an_american_love_story/,1
rottentomatoes.com/m/john_mceuen_and_jimmy_ibbotson_nitty_gritty_surround/,1
rottentomatoes.com/m/journey_back_to_oz/,1
rottentomatoes.com/m/just-another-love-story-kaerlighed-pa-film/,1
rottentomatoes.com/m/justin_bieber_never_say_never/,1
rottentomatoes.com/m/kid_stays_in_the_picture/,1
rottentomatoes.com/m/kill-me-if-you-can-the-caryl-chessman-story/,1
rottentomatoes.com/m/l-evenement-le-plus-important-depuis-que-lhomme-a-marche-sur-la-lune-a-slightly-pregnant-man/,1
rottentomatoes.com/m/le-boucher/,1
rottentomatoes.com/m/legend_of_bruce_lee_2010/,1
rottentomatoes.com/m/leonard_maltins_animation_favorites_from_the_national_film_board_of_canada/,1
rottentomatoes.com/m/ley_lines/,1
rottentomatoes.com/m/limits_of_control/,1
rottentomatoes.com/m/little-dorrit-nobodys-fault-little-dorrits-story/,1
rottentomatoes.com/m/lone_ranger_in_hiyo_silver/,1
rottentomatoes.com/m/lost_film_of_the_titanic_original_1912_film_footage/,1
rottentomatoes.com/m/lost_in_translation/,1
rottentomatoes.com/m/lucky_dube_live_in_concert/,1
rottentomatoes.com/m/lust_caution/,1
rottentomatoes.com/m/mad_about_mambo/,1
rottentomatoes.com/m/man_of_the_year/,1
rottentomatoes.com/m/man_who_cried/,1
rottentomatoes.com/m/man_who_wasnt_there/,1
rottentomatoes.com/m/maurice_richard/,1
rottentomatoes.com/m/maverick/,1
rottentomatoes.com/m/maverick_queen/,1
rottentomatoes.com/m/melancholia-2008/,1
rottentomatoes.com/m/melvin_and_howard/,1
rottentomatoes.com/m/melvin_goes_to_dinner/,1
rottentomatoes.com/m/micki_and_maude/,1
rottentomatoes.com/m/middle_sexes/,1
rottentomatoes.com/m/milk/,1
rottentomatoes.com/m/milk_of_sorrow/,1
rottentomatoes.com/m/miss_pettigrew_lives_for_a_day/,1
rottentomatoes.com/m/miss_pettigrew_lives_for_a_day/trailers/10887968/,1
rottentomatoes.com/m/mission_impossible_3/,1
rottentomatoes.com/m/monique/,1
rottentomatoes.com/m/more_dead_than_alive/,1
rottentomatoes.com/m/motorcycle_diaries/,1
rottentomatoes.com/m/mrs_harris/,1
rottentomatoes.com/m/music_for_weddings_and_funerals/,1
rottentomatoes.com/m/nihon-chinbotsu-the-sinking-of-japan/,1
rottentomatoes.com/m/nijushi-no-hitomi-twentyfour-eyes/,1
rottentomatoes.com/m/nikki_yanofsky_nikki_live_in_montreal/,1
rottentomatoes.com/m/nixon/,1
rottentomatoes.com/m/norma_jean_and_marilyn/,1
rottentomatoes.com/m/nurse_betty/,1
rottentomatoes.com/m/one_night_at_mccools/,1
rottentomatoes.com/m/order_of_chaos/,1
rottentomatoes.com/m/other_boleyn_girl/,1
rottentomatoes.com/m/panama_hattie/,1
rottentomatoes.com/m/paranorman/,1
rottentomatoes.com/m/penguins_of_madagascar_operation/,1
rottentomatoes.com/m/philip_guston_a_life_lived/,1
rottentomatoes.com/m/pianist/,1
rottentomatoes.com/m/pirate_radio/,1
rottentomatoes.com/m/pirate_radio/trailers/,1
rottentomatoes.com/m/pitch_black/,1
rottentomatoes.com/m/playboy_playmates_of_the_year_the_90s/,1
rottentomatoes.com/m/playing_for_keeps/,1
rottentomatoes.com/m/plunkett_and_macleane/,1
rottentomatoes.com/m/possession/,1
rottentomatoes.com/m/pride_and_prejudice/,1
rottentomatoes.com/m/quantum_leap_dreams/,1
rottentomatoes.com/m/rad/,1
rottentomatoes.com/m/raising_the_mammoth/,1
rottentomatoes.com/m/rat_race/,1
rottentomatoes.com/m/reservation_road/,1
rottentomatoes.com/m/rhoda_the_very_best_of_rhoda/,1
rottentomatoes.com/m/richard_pryor_live_on_sunset_strip/,1
rottentomatoes.com/m/romero/,1
rottentomatoes.com/m/rory_o_shea_was_here/,1
rottentomatoes.com/m/rudo_y_cursi/,1
rottentomatoes.com/m/rudo_y_cursi/quotes/,1
rottentomatoes.com/m/sandahl_bergmans_body/,1
rottentomatoes.com/m/school_daze/,1
rottentomatoes.com/m/scoop/,1
rottentomatoes.com/m/session_9/,1
rottentomatoes.com/m/shallow_hal/,1
rottentomatoes.com/m/shape_of_things/,1
rottentomatoes.com/m/shoot_the_piano_player/,1
rottentomatoes.com/m/sigmund_and_the_sea_monsters_season_1/,1
rottentomatoes.com/m/simple_plan/,1
rottentomatoes.com/m/sindrome/,1
rottentomatoes.com/m/sister-aimee-the-aimee-semple-mcpherson-story/,1
rottentomatoes.com/m/soft_kill/,1
rottentomatoes.com/m/something_new/,1
rottentomatoes.com/m/somewhere_2010/,1
rottentomatoes.com/m/sonny_with_a_chance_sonnys_big_break/,1
rottentomatoes.com/m/soul_man/,1
rottentomatoes.com/m/spanish_fly/,1
rottentomatoes.com/m/star_trek_11/,1
rottentomatoes.com/m/star_trek_2/,1
rottentomatoes.com/m/sugar_town/,1
rottentomatoes.com/m/sunday_school_musical/,1
rottentomatoes.com/m/surviving_crooked_lake/,1
rottentomatoes.com/m/swimming_pool/,1
rottentomatoes.com/m/taking_woodstock/,1
rottentomatoes.com/m/talk_to_me/,1
rottentomatoes.com/m/tangled/,1
rottentomatoes.com/m/tex_averys_screwball_classics/,1
rottentomatoes.com/m/tex_averys_screwball_classics_2/,1
rottentomatoes.com/m/texas_chainsaw_massacre_the_beginning/,1
rottentomatoes.com/m/that_evening_sun/,1
rottentomatoes.com/m/the_ground_truth/,1
rottentomatoes.com/m/the_princess_of_montpensier/,1
rottentomatoes.com/m/the_swimming_pool/,1
rottentomatoes.com/m/the_thing_2011/,1
rottentomatoes.com/m/the_woman_of_my_dreams/,1
rottentomatoes.com/m/tim_and_erics_billion_dollar_movie_2012/,1
rottentomatoes.com/m/tinker_tailor_soldier_spy/,1
rottentomatoes.com/m/tinker_tailor_soldier_spy/trailers/,1
rottentomatoes.com/m/total_biology_with_claude_sabbah_md_and_raymond_pageau_phd/,1
rottentomatoes.com/m/toy_story_3/news/1888943/five_favorite_films_with_toy_story_3_director_lee_unkrich/,1
rottentomatoes.com/m/transformers_revenge_of_the_fallen/,1
rottentomatoes.com/m/transformers_the_movie/,1
rottentomatoes.com/m/turtles_can_fly/,1
rottentomatoes.com/m/two_to_tango/,1
rottentomatoes.com/m/unaccompanied_minors/,1
rottentomatoes.com/m/vanity_fair/,1
rottentomatoes.com/m/village/,1
